date,Fever_unscaled,Fever_monthly,isPartial,scale,Fever
2021-08-21,85,37.0,,0.37,31.45
2021-08-22,81,41.0,False,0.41,33.21
2021-08-23,81,41.0,,0.41,33.21
2021-08-24,92,41.0,,0.41,37.72
2021-08-25,89,41.0,,0.41,36.489999999999995
2021-08-26,100,41.0,,0.41,41.0
2021-08-27,91,41.0,,0.41,37.309999999999995
2021-08-28,91,41.0,,0.41,37.309999999999995
2021-08-29,88,39.0,False,0.39,34.32
2021-08-30,90,39.0,,0.39,35.1
2021-08-31,89,39.0,,0.39,34.71
2021-09-01,92,39.0,,0.39,35.88
2021-09-02,100,39.0,,0.39,39.0
2021-09-03,93,39.0,,0.39,36.27
2021-09-04,95,39.0,,0.39,37.050000000000004
2021-09-05,89,39.0,False,0.39,34.71
2021-09-06,89,39.0,,0.39,34.71
2021-09-07,88,39.0,,0.39,34.32
2021-09-08,89,39.0,,0.39,34.71
2021-09-09,93,39.0,,0.39,36.27
2021-09-10,73,39.0,,0.39,28.470000000000002
2021-09-11,88,39.0,,0.39,34.32
2021-09-12,80,36.0,False,0.36,28.799999999999997
2021-09-13,93,36.0,,0.36,33.48
2021-09-14,82,36.0,,0.36,29.52
2021-09-15,80,36.0,,0.36,28.799999999999997
2021-09-16,86,36.0,,0.36,30.959999999999997
2021-09-17,74,36.0,,0.36,26.64
2021-09-18,84,36.0,,0.36,30.24
2021-09-19,84,33.0,False,0.33,27.720000000000002
2021-09-20,87,33.0,,0.33,28.71
2021-09-21,81,33.0,,0.33,26.73
2021-09-22,85,33.0,,0.33,28.05
2021-09-23,73,33.0,,0.33,24.09
2021-09-24,71,33.0,,0.33,23.43
2021-09-25,80,33.0,,0.33,26.400000000000002
2021-09-26,80,32.0,False,0.32,25.6
2021-09-27,78,32.0,,0.32,24.96
2021-09-28,85,32.0,,0.32,27.2
2021-09-29,71,32.0,,0.32,22.72
2021-09-30,81,32.0,,0.32,25.92
2021-10-01,81,32.0,,0.32,25.92
2021-10-02,87,32.0,,0.32,27.84
2021-10-03,100,33.0,False,0.33,33.0
2021-10-04,82,33.0,,0.33,27.060000000000002
2021-10-05,92,33.0,,0.33,30.360000000000003
2021-10-06,83,33.0,,0.33,27.39
2021-10-07,82,33.0,,0.33,27.060000000000002
2021-10-08,76,33.0,,0.33,25.080000000000002
2021-10-09,85,33.0,,0.33,28.05
2021-10-10,79,32.0,False,0.32,25.28
2021-10-11,85,32.0,,0.32,27.2
2021-10-12,83,32.0,,0.32,26.560000000000002
2021-10-13,89,32.0,,0.32,28.48
2021-10-14,93,32.0,,0.32,29.76
2021-10-15,82,32.0,,0.32,26.240000000000002
2021-10-16,84,32.0,,0.32,26.88
2021-10-17,82,32.0,False,0.32,26.240000000000002
2021-10-18,88,32.0,,0.32,28.16
2021-10-19,75,32.0,,0.32,24.0
2021-10-20,94,32.0,,0.32,30.080000000000002
2021-10-21,79,32.0,,0.32,25.28
2021-10-22,75,32.0,,0.32,24.0
2021-10-23,78,32.0,,0.32,24.96
2021-10-24,79,32.0,False,0.32,25.28
2021-10-25,81,32.0,,0.32,25.92
2021-10-26,79,32.0,,0.32,25.28
2021-10-27,81,32.0,,0.32,25.92
2021-10-28,77,32.0,,0.32,24.64
2021-10-29,81,32.0,,0.32,25.92
2021-10-30,78,32.0,,0.32,24.96
2021-10-31,76,32.0,False,0.32,24.32
2021-11-01,85,32.0,,0.32,27.2
2021-11-02,89,32.0,,0.32,28.48
2021-11-03,86,32.0,,0.32,27.52
2021-11-04,90,32.0,,0.32,28.8
2021-11-05,74,32.0,,0.32,23.68
2021-11-06,88,32.0,,0.32,28.16
2021-11-07,84,34.0,False,0.34,28.560000000000002
2021-11-08,91,34.0,,0.34,30.94
2021-11-09,92,34.0,,0.34,31.28
2021-11-10,93,34.0,,0.34,31.62
2021-11-11,97,34.0,,0.34,32.980000000000004
2021-11-12,79,34.0,,0.34,26.860000000000003
2021-11-13,84,34.0,,0.34,28.560000000000002
2021-11-14,90,35.0,False,0.35,31.499999999999996
2021-11-15,90,35.0,,0.35,31.499999999999996
2021-11-16,89,35.0,,0.35,31.15
2021-11-17,89,35.0,,0.35,31.15
2021-11-18,93,35.0,,0.35,32.55
2021-11-19,80,35.0,,0.35,28.0
2021-11-20,87,35.0,,0.35,30.45
2021-11-21,86,33.0,False,0.33,28.380000000000003
2021-11-22,87,33.0,,0.33,28.71
2021-11-23,96,33.0,,0.33,31.68
2021-11-24,88,33.0,,0.33,29.040000000000003
2021-11-25,85,33.0,,0.33,28.05
2021-11-26,75,33.0,,0.33,24.75
2021-11-27,80,33.0,,0.33,26.400000000000002
2021-11-28,100,37.0,False,0.37,37.0
2021-11-29,94,37.0,,0.37,34.78
2021-11-30,97,37.0,,0.37,35.89
2021-12-01,86,37.0,,0.37,31.82
2021-12-02,85,37.0,,0.37,31.45
2021-12-03,83,37.0,,0.37,30.71
2021-12-04,90,37.0,,0.37,33.3
2021-12-05,89,37.0,False,0.37,32.93
2021-12-06,91,37.0,,0.37,33.67
2021-12-07,84,37.0,,0.37,31.08
2021-12-08,89,37.0,,0.37,32.93
2021-12-09,89,37.0,,0.37,32.93
2021-12-10,80,37.0,,0.37,29.6
2021-12-11,88,37.0,,0.37,32.56
2021-12-12,76,39.0,True,0.39,29.64
2021-12-13,82,39.0,,0.39,31.98
2021-12-14,100,39.0,,0.39,39.0
2021-12-15,100,39.0,,0.39,39.0
2021-12-16,100,39.0,,0.39,39.0
2021-12-17,97,39.0,,0.39,37.83
